idx,continent,nation,city
8d2005ec35280deb6a438dc87b225f89,Europe,France,Paris
b3072cd11f40eb57fd259555264476c6,Europe,Italy,Milan
4adc9fee977fa04c357ed4c9b52aa3cc,Europe,Italy,Benevento
59c641a72b495d522a7932145d6c02b3,Europe,Italy,Rieti
d227f2faf6ec185e54436d86463f499b,Europe,Italy,Bergamo
fe612cc9179e038f97816fce891022a6,Europe,Italy,Bergamo
6e67b6ad4cc6b420fe86fb975925fb32,Europe,Italy,Rome
c593d7fd658f9ff5bc0c1aee2e9c917e,Europe,Italy,Milan
8c1fad5ce0dab8908dee527f88697ce2,Europe,France,Paris
5be32167a2dcc08470287a6029b7e4c5,Europe,France,Lione
fa2133f1e5a865a5a5044777824fe147,Europe,France,Lione
586938c5a53d9b916498a893248a5da3,Europe,France,Marseille
09704782c2fd58e9198a4cc8f04e30d0,Europe,France,Nice
d564abb00bb146ff75c7ed2d9b48aadc,North-America,U.S.A.,Kansas City
9d3f203c5a8a124ec5a1b21fe3ad1842,North-America,U.S.A.,New York
c8a830e0143916293557b7276958ac48,North-America,U.S.A.,Miami
f5ae6143fa79ba55deb5e9e720b4c681,Asia,Cina,Hong Kong
0cdccbb0c544e4909e1b4716f52f2280,North-America,U.S.A.,San Francisco
2b48856a1e68b1deaae63aa0eea7b7e9,North-America,U.S.A.,Los Angeles
50e3e579db0eef68a893b76b8199cf81,North-America,U.S.A.,Los Santos
